ARR_DEL15,DEP_DELAY,TAXI_OUT,DISTANCE,MONTH_1,OP_CARRIER_AIRLINE_ID_19393,ORIGIN_AIRPORT_ID_10140,ORIGIN_AIRPORT_ID_10257,ORIGIN_AIRPORT_ID_10279,ORIGIN_AIRPORT_ID_10397,ORIGIN_AIRPORT_ID_10423,ORIGIN_AIRPORT_ID_10529,ORIGIN_AIRPORT_ID_10599,ORIGIN_AIRPORT_ID_10666,ORIGIN_AIRPORT_ID_10693,ORIGIN_AIRPORT_ID_10713,ORIGIN_AIRPORT_ID_10721,ORIGIN_AIRPORT_ID_10792,ORIGIN_AIRPORT_ID_10800,ORIGIN_AIRPORT_ID_10821,DEST_AIRPORT_ID_10140,DEST_AIRPORT_ID_10257,DEST_AIRPORT_ID_10279,DEST_AIRPORT_ID_10397,DEST_AIRPORT_ID_10423,DEST_AIRPORT_ID_10529,DEST_AIRPORT_ID_10599,DEST_AIRPORT_ID_10693,DEST_AIRPORT_ID_10721,DEST_AIRPORT_ID_10792,DEST_AIRPORT_ID_10800,DEST_AIRPORT_ID_10821,DEST_AIRPORT_ID_10994,DEST_AIRPORT_ID_11042,DEST_AIRPORT_ID_11057,DEST_AIRPORT_ID_11066,DEST_AIRPORT_ID_11193,DEST_AIRPORT_ID_11259,DEST_AIRPORT_ID_11278,DEST_AIRPORT_ID_11292,DEST_AIRPORT_ID_11433,DEST_AIRPORT_ID_11481,DEST_AIRPORT_ID_11540,DEST_AIRPORT_ID_11697,DEST_AIRPORT_ID_11986,DEST_AIRPORT_ID_11996,DEST_AIRPORT_ID_12094,DEST_AIRPORT_ID_12191,DEST_AIRPORT_ID_12206,DEST_AIRPORT_ID_12264,DEST_AIRPORT_ID_12266,DEST_AIRPORT_ID_12339,DEST_AIRPORT_ID_12391,DEST_AIRPORT_ID_12448,DEST_AIRPORT_ID_12451,DEST_AIRPORT_ID_12889,DEST_AIRPORT_ID_12892,DEST_AIRPORT_ID_12896,DEST_AIRPORT_ID_12953,DEST_AIRPORT_ID_12954,DEST_AIRPORT_ID_12992,DEST_AIRPORT_ID_13158,DEST_AIRPORT_ID_13198,DEST_AIRPORT_ID_13204,DEST_AIRPORT_ID_13232,DEST_AIRPORT_ID_13244,DEST_AIRPORT_ID_13303,DEST_AIRPORT_ID_13342,DEST_AIRPORT_ID_13487,DEST_AIRPORT_ID_13495,DEST_AIRPORT_ID_13502,DEST_AIRPORT_ID_13577,DEST_AIRPORT_ID_13796,DEST_AIRPORT_ID_13851,DEST_AIRPORT_ID_13871,DEST_AIRPORT_ID_13891,DEST_AIRPORT_ID_13930,DEST_AIRPORT_ID_13931,DEST_AIRPORT_ID_14027,DEST_AIRPORT_ID_14100,DEST_AIRPORT_ID_14107,DEST_AIRPORT_ID_14122,DEST_AIRPORT_ID_14193,DEST_AIRPORT_ID_14492,DEST_AIRPORT_ID_14524,DEST_AIRPORT_ID_14570,DEST_AIRPORT_ID_14635,DEST_AIRPORT_ID_14679,DEST_AIRPORT_ID_14683,DEST_AIRPORT_ID_14685,DEST_AIRPORT_ID_14730,DEST_AIRPORT_ID_14771,DEST_AIRPORT_ID_14831,DEST_AIRPORT_ID_14843,DEST_AIRPORT_ID_14869,DEST_AIRPORT_ID_14893,DEST_AIRPORT_ID_14908,DEST_AIRPORT_ID_14986,DEST_AIRPORT_ID_15016,DEST_AIRPORT_ID_15304,DEST_AIRPORT_ID_15370,DEST_AIRPORT_ID_15624
1,0.2854767712104673,-0.7407232339247809,-0.0520359837718514,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3140447029755915,0.1512712597374284,-0.0520359837718514,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5425881570965856,-0.3839254364598972,-0.0520359837718514,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.1425147241641949,-0.562324335192339,-0.0520359837718514,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.3139223147549404,-0.7407232339247809,-0.0520359837718514,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.1423923359435437,-1.2759199301221065,-0.0520359837718514,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.3144497958571419,-0.2055265377274553,0.1000199939760732,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.2573139323268935,3.18405253818894,0.1000199939760732,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.2287460005617692,-0.3839254364598972,0.1000199939760732,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3426126347407158,0.686467955934754,0.1000199939760732,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.9996750653385736,0.686467955934754,0.1000199939760732,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0853788606339465,-0.7407232339247809,0.1000199939760732,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
