MONTH,OP_CARRIER_AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_DELAY,TAXI_OUT,ARR_DEL15,DISTANCE
1,19393,10140,11259,-8.00,10.00,0.00,580.00
1,19393,10140,11259,-7.00,11.00,0.00,580.00
1,19393,10140,11259,-7.00,13.00,0.00,580.00
1,19393,10140,11259,-7.00,14.00,0.00,580.00
1,19393,10140,11259,-6.00,6.00,0.00,580.00
1,19393,10140,11259,-6.00,6.00,0.00,580.00
1,19393,10140,11259,-6.00,7.00,0.00,580.00
1,19393,10140,11259,-6.00,8.00,0.00,580.00
1,19393,10140,11259,-6.00,9.00,0.00,580.00
1,19393,10140,11259,-6.00,9.00,0.00,580.00
1,19393,10140,11259,-6.00,9.00,0.00,580.00
1,19393,10140,11259,-6.00,10.00,0.00,580.00
1,19393,10140,11259,-6.00,10.00,0.00,580.00
1,19393,10140,11259,-6.00,11.00,0.00,580.00
1,19393,10140,11259,-6.00,12.00,0.00,580.00
1,19393,10140,11259,-6.00,16.00,0.00,580.00
1,19393,10140,11259,-5.00,6.00,0.00,580.00
1,19393,10140,11259,-5.00,6.00,0.00,580.00
1,19393,10140,11259,-5.00,8.00,0.00,580.00
1,19393,10140,11259,-5.00,8.00,0.00,580.00
1,19393,10140,11259,-5.00,9.00,0.00,580.00
1,19393,10140,11259,-5.00,9.00,0.00,580.00
1,19393,10140,11259,-5.00,9.00,0.00,580.00
1,19393,10140,11259,-5.00,11.00,,580.00
1,19393,10140,11259,-5.00,11.00,0.00,580.00
1,19393,10140,11259,-5.00,11.00,0.00,580.00
1,19393,10140,11259,-5.00,13.00,0.00,580.00
1,19393,10140,11259,-5.00,14.00,0.00,580.00
1,19393,10140,11259,-5.00,19.00,0.00,580.00
1,19393,10140,11259,-5.00,28.00,0.00,580.00
1,19393,10140,11259,-4.00,7.00,0.00,580.00
1,19393,10140,11259,-4.00,8.00,0.00,580.00
1,19393,10140,11259,-4.00,8.00,0.00,580.00
1,19393,10140,11259,-4.00,9.00,0.00,580.00
1,19393,10140,11259,-4.00,10.00,0.00,580.00
1,19393,10140,11259,-4.00,11.00,0.00,580.00
1,19393,10140,11259,-4.00,11.00,0.00,580.00
1,19393,10140,11259,-4.00,11.00,0.00,580.00
1,19393,10140,11259,-4.00,12.00,0.00,580.00
1,19393,10140,11259,-4.00,12.00,0.00,580.00
1,19393,10140,11259,-4.00,12.00,0.00,580.00
1,19393,10140,11259,-4.00,13.00,0.00,580.00
1,19393,10140,11259,-4.00,17.00,0.00,580.00
1,19393,10140,11259,-4.00,19.00,0.00,580.00
1,19393,10140,11259,-4.00,19.00,0.00,580.00
1,19393,10140,11259,-4.00,19.00,0.00,580.00
1,19393,10140,11259,-4.00,19.00,0.00,580.00
1,19393,10140,11259,-3.00,7.00,0.00,580.00
1,19393,10140,11259,-3.00,8.00,0.00,580.00
1,19393,10140,11259,-3.00,8.00,0.00,580.00
1,19393,10140,11259,-3.00,9.00,0.00,580.00
1,19393,10140,11259,-3.00,9.00,0.00,580.00
1,19393,10140,11259,-3.00,9.00,0.00,580.00
1,19393,10140,11259,-3.00,9.00,0.00,580.00
1,19393,10140,11259,-3.00,11.00,0.00,580.00
1,19393,10140,11259,-3.00,11.00,0.00,580.00
1,19393,10140,11259,-3.00,12.00,0.00,580.00
1,19393,10140,11259,-3.00,12.00,0.00,580.00
1,19393,10140,11259,-3.00,19.00,0.00,580.00
1,19393,10140,11259,-3.00,22.00,0.00,580.00
1,19393,10140,11259,-3.00,26.00,0.00,580.00
1,19393,10140,11259,-2.00,8.00,0.00,580.00
1,19393,10140,11259,-2.00,9.00,0.00,580.00
1,19393,10140,11259,-2.00,9.00,0.00,580.00
1,19393,10140,11259,-2.00,9.00,0.00,580.00
1,19393,10140,11259,-2.00,11.00,0.00,580.00
1,19393,10140,11259,-2.00,15.00,0.00,580.00
1,19393,10140,11259,-2.00,26.00,0.00,580.00
1,19393,10140,11259,-1.00,6.00,0.00,580.00
1,19393,10140,11259,-1.00,7.00,0.00,580.00
1,19393,10140,11259,-1.00,7.00,0.00,580.00
1,19393,10140,11259,-1.00,9.00,0.00,580.00
1,19393,10140,11259,-1.00,11.00,0.00,580.00
1,19393,10140,11259,-1.00,13.00,0.00,580.00
1,19393,10140,11259,-1.00,14.00,0.00,580.00
1,19393,10140,11259,-1.00,21.00,0.00,580.00
1,19393,10140,11259,-1.00,22.00,0.00,580.00
1,19393,10140,11259,-1.00,29.00,0.00,580.00
1,19393,10140,11259,0.00,7.00,0.00,580.00
1,19393,10140,11259,0.00,9.00,0.00,580.00
1,19393,10140,11259,0.00,10.00,0.00,580.00
1,19393,10140,11259,0.00,10.00,0.00,580.00
1,19393,10140,11259,0.00,11.00,0.00,580.00
1,19393,10140,11259,0.00,11.00,0.00,580.00
1,19393,10140,11259,0.00,18.00,0.00,580.00
1,19393,10140,11259,0.00,18.00,0.00,580.00
1,19393,10140,11259,1.00,7.00,0.00,580.00
1,19393,10140,11259,1.00,7.00,0.00,580.00
1,19393,10140,11259,1.00,14.00,0.00,580.00
1,19393,10140,11259,1.00,19.00,0.00,580.00
1,19393,10140,11259,1.00,26.00,0.00,580.00
1,19393,10140,11259,2.00,9.00,0.00,580.00
1,19393,10140,11259,3.00,9.00,0.00,580.00
1,19393,10140,11259,3.00,9.00,0.00,580.00
1,19393,10140,11259,3.00,10.00,0.00,580.00
1,19393,10140,11259,4.00,6.00,0.00,580.00
1,19393,10140,11259,4.00,8.00,0.00,580.00
1,19393,10140,11259,4.00,10.00,0.00,580.00
1,19393,10140,11259,4.00,10.00,0.00,580.00
1,19393,10140,11259,6.00,7.00,0.00,580.00
1,19393,10140,11259,6.00,8.00,0.00,580.00
1,19393,10140,11259,6.00,8.00,0.00,580.00
1,19393,10140,11259,7.00,18.00,0.00,580.00
1,19393,10140,11259,8.00,9.00,0.00,580.00
1,19393,10140,11259,9.00,23.00,1.00,580.00
1,19393,10140,11259,10.00,7.00,0.00,580.00
1,19393,10140,11259,10.00,7.00,0.00,580.00
1,19393,10140,11259,10.00,13.00,0.00,580.00
1,19393,10140,11259,11.00,7.00,0.00,580.00
1,19393,10140,11259,11.00,7.00,0.00,580.00
1,19393,10140,11259,12.00,8.00,0.00,580.00
1,19393,10140,11259,13.00,6.00,0.00,580.00
1,19393,10140,11259,20.00,11.00,0.00,580.00
1,19393,10140,11259,20.00,11.00,1.00,580.00
1,19393,10140,11259,21.00,12.00,1.00,580.00
1,19393,10140,11259,28.00,8.00,0.00,580.00
1,19393,10140,11259,31.00,8.00,1.00,580.00
1,19393,10140,11259,45.00,9.00,1.00,580.00
1,19393,10140,11259,50.00,7.00,1.00,580.00
1,19393,10140,11259,57.00,9.00,1.00,580.00
1,19393,10140,11259,70.00,9.00,1.00,580.00
1,19393,10140,11259,84.00,14.00,1.00,580.00
1,19393,10140,11259,87.00,12.00,1.00,580.00
1,19393,10140,11259,92.00,8.00,1.00,580.00
1,19393,10140,11259,98.00,6.00,1.00,580.00
1,19393,10140,11259,111.00,6.00,1.00,580.00
1,19393,10140,11259,125.00,8.00,1.00,580.00
1,19393,10140,11259,178.00,14.00,1.00,580.00
1,19393,10140,11292,,,,349.00
1,19393,10140,11292,,,,349.00
1,19393,10140,11292,,,,349.00
1,19393,10140,11292,,,,349.00
1,19393,10140,11292,,,,349.00
1,19393,10140,11292,,,,349.00
1,19393,10140,11292,,,,349.00
1,19393,10140,11292,,,,349.00
1,19393,10140,11292,-12.00,10.00,0.00,349.00
1,19393,10140,11292,-10.00,10.00,0.00,349.00
1,19393,10140,11292,-10.00,13.00,0.00,349.00
1,19393,10140,11292,-9.00,11.00,0.00,349.00
1,19393,10140,11292,-9.00,13.00,0.00,349.00
1,19393,10140,11292,-8.00,9.00,0.00,349.00
1,19393,10140,11292,-8.00,13.00,0.00,349.00
1,19393,10140,11292,-7.00,17.00,0.00,349.00
1,19393,10140,11292,-6.00,7.00,0.00,349.00
1,19393,10140,11292,-6.00,9.00,0.00,349.00
1,19393,10140,11292,-6.00,9.00,0.00,349.00
1,19393,10140,11292,-6.00,11.00,0.00,349.00
1,19393,10140,11292,-6.00,14.00,0.00,349.00
1,19393,10140,11292,-6.00,20.00,0.00,349.00
1,19393,10140,11292,-5.00,6.00,0.00,349.00
1,19393,10140,11292,-5.00,7.00,0.00,349.00
1,19393,10140,11292,-5.00,8.00,0.00,349.00
1,19393,10140,11292,-5.00,10.00,0.00,349.00
1,19393,10140,11292,-5.00,11.00,0.00,349.00
1,19393,10140,11292,-5.00,14.00,0.00,349.00
1,19393,10140,11292,-5.00,14.00,0.00,349.00
1,19393,10140,11292,-5.00,17.00,0.00,349.00
1,19393,10140,11292,-5.00,19.00,0.00,349.00
1,19393,10140,11292,-5.00,21.00,0.00,349.00
1,19393,10140,11292,-4.00,6.00,0.00,349.00
1,19393,10140,11292,-4.00,7.00,0.00,349.00
1,19393,10140,11292,-4.00,7.00,0.00,349.00
1,19393,10140,11292,-4.00,8.00,0.00,349.00
1,19393,10140,11292,-4.00,8.00,0.00,349.00
1,19393,10140,11292,-4.00,9.00,0.00,349.00
1,19393,10140,11292,-4.00,9.00,0.00,349.00
1,19393,10140,11292,-4.00,10.00,0.00,349.00
1,19393,10140,11292,-4.00,13.00,0.00,349.00
1,19393,10140,11292,-4.00,19.00,0.00,349.00
1,19393,10140,11292,-4.00,22.00,0.00,349.00
1,19393,10140,11292,-3.00,7.00,0.00,349.00
1,19393,10140,11292,-3.00,8.00,0.00,349.00
1,19393,10140,11292,-3.00,9.00,0.00,349.00
1,19393,10140,11292,-3.00,11.00,0.00,349.00
1,19393,10140,11292,-3.00,11.00,0.00,349.00
1,19393,10140,11292,-3.00,12.00,0.00,349.00
1,19393,10140,11292,-3.00,12.00,0.00,349.00
1,19393,10140,11292,-3.00,22.00,0.00,349.00
1,19393,10140,11292,-3.00,27.00,0.00,349.00
1,19393,10140,11292,-2.00,6.00,0.00,349.00
1,19393,10140,11292,-2.00,7.00,0.00,349.00
1,19393,10140,11292,-2.00,9.00,0.00,349.00
1,19393,10140,11292,-2.00,9.00,0.00,349.00
1,19393,10140,11292,-2.00,12.00,0.00,349.00
1,19393,10140,11292,-2.00,18.00,0.00,349.00
1,19393,10140,11292,-2.00,20.00,1.00,349.00
1,19393,10140,11292,-1.00,7.00,0.00,349.00
1,19393,10140,11292,-1.00,8.00,0.00,349.00
1,19393,10140,11292,-1.00,8.00,0.00,349.00
1,19393,10140,11292,-1.00,8.00,0.00,349.00
1,19393,10140,11292,-1.00,9.00,0.00,349.00
1,19393,10140,11292,-1.00,10.00,0.00,349.00
1,19393,10140,11292,-1.00,10.00,0.00,349.00
1,19393,10140,11292,-1.00,13.00,0.00,349.00
1,19393,10140,11292,-1.00,15.00,0.00,349.00
1,19393,10140,11292,0.00,8.00,0.00,349.00
1,19393,10140,11292,0.00,11.00,0.00,349.00
1,19393,10140,11292,0.00,11.00,0.00,349.00
1,19393,10140,11292,0.00,17.00,0.00,349.00
1,19393,10140,11292,0.00,18.00,0.00,349.00
1,19393,10140,11292,1.00,7.00,0.00,349.00
1,19393,10140,11292,1.00,7.00,0.00,349.00
1,19393,10140,11292,1.00,10.00,0.00,349.00
1,19393,10140,11292,1.00,10.00,0.00,349.00
1,19393,10140,11292,1.00,19.00,0.00,349.00
1,19393,10140,11292,2.00,8.00,0.00,349.00
1,19393,10140,11292,2.00,16.00,0.00,349.00
1,19393,10140,11292,3.00,10.00,0.00,349.00
1,19393,10140,11292,5.00,8.00,0.00,349.00
1,19393,10140,11292,5.00,8.00,0.00,349.00
1,19393,10140,11292,5.00,9.00,0.00,349.00
1,19393,10140,11292,5.00,9.00,0.00,349.00
1,19393,10140,11292,5.00,28.00,0.00,349.00
1,19393,10140,11292,10.00,10.00,0.00,349.00
1,19393,10140,11292,12.00,12.00,0.00,349.00
1,19393,10140,11292,14.00,23.00,1.00,349.00
1,19393,10140,11292,15.00,7.00,0.00,349.00
1,19393,10140,11292,15.00,8.00,0.00,349.00
1,19393,10140,11292,15.00,11.00,0.00,349.00
1,19393,10140,11292,19.00,7.00,1.00,349.00
1,19393,10140,11292,20.00,8.00,0.00,349.00
1,19393,10140,11292,21.00,13.00,0.00,349.00
1,19393,10140,11292,22.00,8.00,1.00,349.00
1,19393,10140,11292,23.00,11.00,0.00,349.00
1,19393,10140,11292,23.00,22.00,1.00,349.00
1,19393,10140,11292,24.00,6.00,0.00,349.00
1,19393,10140,11292,29.00,13.00,1.00,349.00
1,19393,10140,11292,30.00,18.00,1.00,349.00
1,19393,10140,11292,31.00,10.00,1.00,349.00
1,19393,10140,11292,35.00,8.00,1.00,349.00
1,19393,10140,11292,46.00,19.00,1.00,349.00
1,19393,10140,11292,49.00,12.00,1.00,349.00
1,19393,10140,11292,49.00,32.00,1.00,349.00
1,19393,10140,11292,57.00,11.00,1.00,349.00
1,19393,10140,11292,58.00,15.00,1.00,349.00
1,19393,10140,11292,69.00,6.00,1.00,349.00
1,19393,10140,11292,101.00,9.00,1.00,349.00
1,19393,10140,11292,106.00,8.00,1.00,349.00
1,19393,10140,11292,127.00,9.00,1.00,349.00
1,19393,10140,11292,130.00,16.00,1.00,349.00
1,19393,10140,11292,145.00,11.00,1.00,349.00
1,19393,10140,11292,180.00,17.00,1.00,349.00
1,19393,10140,12191,-13.00,8.00,0.00,759.00
1,19393,10140,12191,-7.00,7.00,0.00,759.00
1,19393,10140,12191,-7.00,10.00,0.00,759.00
1,19393,10140,12191,-7.00,11.00,0.00,759.00
1,19393,10140,12191,-7.00,11.00,0.00,759.00
1,19393,10140,12191,-6.00,10.00,0.00,759.00
1,19393,10140,12191,-6.00,21.00,0.00,759.00
1,19393,10140,12191,-6.00,23.00,0.00,759.00
1,19393,10140,12191,-5.00,7.00,0.00,759.00
1,19393,10140,12191,-5.00,7.00,0.00,759.00
1,19393,10140,12191,-5.00,8.00,0.00,759.00
1,19393,10140,12191,-5.00,10.00,0.00,759.00
1,19393,10140,12191,-5.00,11.00,0.00,759.00
1,19393,10140,12191,-5.00,12.00,0.00,759.00
1,19393,10140,12191,-5.00,13.00,0.00,759.00
1,19393,10140,12191,-5.00,16.00,0.00,759.00
1,19393,10140,12191,-5.00,18.00,0.00,759.00
1,19393,10140,12191,-4.00,8.00,0.00,759.00
1,19393,10140,12191,-4.00,11.00,0.00,759.00
1,19393,10140,12191,-4.00,11.00,0.00,759.00
1,19393,10140,12191,-4.00,18.00,0.00,759.00
1,19393,10140,12191,-4.00,20.00,0.00,759.00
1,19393,10140,12191,-3.00,7.00,0.00,759.00
1,19393,10140,12191,-3.00,7.00,0.00,759.00
1,19393,10140,12191,-3.00,8.00,0.00,759.00
1,19393,10140,12191,-3.00,9.00,0.00,759.00
1,19393,10140,12191,-3.00,10.00,,759.00
1,19393,10140,12191,-3.00,17.00,0.00,759.00
1,19393,10140,12191,-3.00,25.00,1.00,759.00
1,19393,10140,12191,-2.00,9.00,0.00,759.00
1,19393,10140,12191,-2.00,9.00,0.00,759.00
1,19393,10140,12191,-2.00,14.00,0.00,759.00
1,19393,10140,12191,-2.00,21.00,0.00,759.00
1,19393,10140,12191,-2.00,44.00,1.00,759.00
1,19393,10140,12191,-1.00,7.00,0.00,759.00
1,19393,10140,12191,-1.00,7.00,0.00,759.00
1,19393,10140,12191,-1.00,10.00,0.00,759.00
1,19393,10140,12191,-1.00,13.00,0.00,759.00
1,19393,10140,12191,0.00,9.00,0.00,759.00
1,19393,10140,12191,0.00,14.00,0.00,759.00
1,19393,10140,12191,0.00,18.00,0.00,759.00
1,19393,10140,12191,1.00,14.00,0.00,759.00
1,19393,10140,12191,1.00,21.00,0.00,759.00
1,19393,10140,12191,1.00,21.00,0.00,759.00
1,19393,10140,12191,3.00,8.00,0.00,759.00
1,19393,10140,12191,3.00,10.00,0.00,759.00
1,19393,10140,12191,5.00,9.00,0.00,759.00
1,19393,10140,12191,7.00,9.00,0.00,759.00
1,19393,10140,12191,7.00,25.00,0.00,759.00
1,19393,10140,12191,8.00,12.00,0.00,759.00
1,19393,10140,12191,10.00,12.00,0.00,759.00
1,19393,10140,12191,12.00,8.00,0.00,759.00
1,19393,10140,12191,14.00,22.00,0.00,759.00
1,19393,10140,12191,18.00,11.00,0.00,759.00
1,19393,10140,12191,25.00,8.00,0.00,759.00
1,19393,10140,12191,30.00,10.00,1.00,759.00
1,19393,10140,12191,34.00,23.00,1.00,759.00
1,19393,10140,12191,40.00,14.00,1.00,759.00
1,19393,10140,12191,45.00,10.00,1.00,759.00
1,19393,10140,12191,106.00,10.00,1.00,759.00
1,19393,10140,12191,112.00,10.00,1.00,759.00
1,19393,10140,12191,124.00,12.00,1.00,759.00
1,19393,10140,12889,,,,486.00
1,19393,10140,12889,-14.00,12.00,0.00,486.00
1,19393,10140,12889,-12.00,8.00,0.00,486.00
1,19393,10140,12889,-12.00,9.00,0.00,486.00
1,19393,10140,12889,-11.00,1.00,0.00,486.00
1,19393,10140,12889,-11.00,10.00,0.00,486.00
1,19393,10140,12889,-10.00,7.00,0.00,486.00
1,19393,10140,12889,-10.00,12.00,0.00,486.00
1,19393,10140,12889,-9.00,6.00,0.00,486.00
1,19393,10140,12889,-8.00,6.00,0.00,486.00
1,19393,10140,12889,-8.00,8.00,0.00,486.00
1,19393,10140,12889,-8.00,11.00,0.00,486.00
1,19393,10140,12889,-7.00,7.00,0.00,486.00
1,19393,10140,12889,-7.00,8.00,0.00,486.00
1,19393,10140,12889,-7.00,9.00,0.00,486.00
1,19393,10140,12889,-7.00,11.00,0.00,486.00
1,19393,10140,12889,-7.00,18.00,0.00,486.00
1,19393,10140,12889,-7.00,18.00,0.00,486.00
1,19393,10140,12889,-6.00,9.00,0.00,486.00
1,19393,10140,12889,-6.00,9.00,0.00,486.00
1,19393,10140,12889,-6.00,10.00,0.00,486.00
1,19393,10140,12889,-6.00,12.00,0.00,486.00
1,19393,10140,12889,-6.00,12.00,0.00,486.00
1,19393,10140,12889,-5.00,6.00,0.00,486.00
1,19393,10140,12889,-5.00,9.00,0.00,486.00
1,19393,10140,12889,-5.00,9.00,0.00,486.00
1,19393,10140,12889,-5.00,10.00,0.00,486.00
1,19393,10140,12889,-5.00,10.00,0.00,486.00
1,19393,10140,12889,-5.00,11.00,0.00,486.00
1,19393,10140,12889,-5.00,13.00,0.00,486.00
1,19393,10140,12889,-5.00,15.00,0.00,486.00
1,19393,10140,12889,-5.00,17.00,0.00,486.00
1,19393,10140,12889,-5.00,32.00,0.00,486.00
1,19393,10140,12889,-5.00,34.00,0.00,486.00
1,19393,10140,12889,-4.00,7.00,0.00,486.00
1,19393,10140,12889,-4.00,8.00,0.00,486.00
1,19393,10140,12889,-4.00,8.00,0.00,486.00
1,19393,10140,12889,-4.00,9.00,0.00,486.00
1,19393,10140,12889,-4.00,9.00,0.00,486.00
1,19393,10140,12889,-4.00,11.00,0.00,486.00
1,19393,10140,12889,-4.00,12.00,0.00,486.00
1,19393,10140,12889,-4.00,12.00,0.00,486.00
1,19393,10140,12889,-4.00,17.00,0.00,486.00
1,19393,10140,12889,-4.00,19.00,0.00,486.00
1,19393,10140,12889,-4.00,24.00,0.00,486.00
1,19393,10140,12889,-3.00,7.00,0.00,486.00
1,19393,10140,12889,-3.00,8.00,0.00,486.00
1,19393,10140,12889,-3.00,8.00,0.00,486.00
1,19393,10140,12889,-3.00,9.00,0.00,486.00
1,19393,10140,12889,-3.00,9.00,0.00,486.00
1,19393,10140,12889,-3.00,9.00,0.00,486.00
1,19393,10140,12889,-3.00,13.00,0.00,486.00
1,19393,10140,12889,-3.00,13.00,0.00,486.00
1,19393,10140,12889,-3.00,21.00,0.00,486.00
1,19393,10140,12889,-3.00,24.00,0.00,486.00
1,19393,10140,12889,-3.00,24.00,0.00,486.00
1,19393,10140,12889,-2.00,7.00,0.00,486.00
1,19393,10140,12889,-2.00,9.00,0.00,486.00
1,19393,10140,12889,-2.00,10.00,0.00,486.00
1,19393,10140,12889,-2.00,10.00,0.00,486.00
1,19393,10140,12889,-2.00,12.00,0.00,486.00
1,19393,10140,12889,-2.00,13.00,0.00,486.00
1,19393,10140,12889,-2.00,16.00,0.00,486.00
1,19393,10140,12889,-2.00,18.00,0.00,486.00
1,19393,10140,12889,-2.00,19.00,0.00,486.00
1,19393,10140,12889,-2.00,19.00,0.00,486.00
1,19393,10140,12889,-1.00,9.00,1.00,486.00
1,19393,10140,12889,-1.00,10.00,0.00,486.00
1,19393,10140,12889,-1.00,11.00,0.00,486.00
1,19393,10140,12889,-1.00,13.00,0.00,486.00
1,19393,10140,12889,-1.00,13.00,0.00,486.00
1,19393,10140,12889,0.00,6.00,0.00,486.00
1,19393,10140,12889,0.00,7.00,1.00,486.00
1,19393,10140,12889,0.00,10.00,0.00,486.00
1,19393,10140,12889,0.00,11.00,0.00,486.00
1,19393,10140,12889,0.00,11.00,0.00,486.00
1,19393,10140,12889,0.00,17.00,0.00,486.00
1,19393,10140,12889,0.00,23.00,0.00,486.00
1,19393,10140,12889,0.00,24.00,0.00,486.00
1,19393,10140,12889,2.00,9.00,0.00,486.00
1,19393,10140,12889,4.00,7.00,0.00,486.00
1,19393,10140,12889,5.00,7.00,0.00,486.00
1,19393,10140,12889,5.00,9.00,0.00,486.00
1,19393,10140,12889,5.00,10.00,0.00,486.00
1,19393,10140,12889,6.00,17.00,0.00,486.00
1,19393,10140,12889,7.00,7.00,0.00,486.00
1,19393,10140,12889,8.00,15.00,0.00,486.00
1,19393,10140,12889,11.00,7.00,0.00,486.00
1,19393,10140,12889,11.00,11.00,0.00,486.00
1,19393,10140,12889,12.00,9.00,0.00,486.00
1,19393,10140,12889,12.00,9.00,0.00,486.00
1,19393,10140,12889,12.00,10.00,0.00,486.00
1,19393,10140,12889,13.00,11.00,0.00,486.00
1,19393,10140,12889,13.00,16.00,1.00,486.00
1,19393,10140,12889,15.00,8.00,0.00,486.00
1,19393,10140,12889,20.00,22.00,1.00,486.00
1,19393,10140,12889,21.00,12.00,1.00,486.00
1,19393,10140,12889,25.00,12.00,1.00,486.00
1,19393,10140,12889,26.00,13.00,1.00,486.00
1,19393,10140,12889,27.00,13.00,1.00,486.00
